id,expense_date,marketplace_sku,expense_type,expense_amount
793728,2026-06-01,3800975792,advertising_other,41.73
793787,2026-06-01,3825056100,advertising_other,30.08
793699,2026-06-01,3825058025,advertising_other,63.91
793799,2026-06-01,3856737362,advertising_other,25.2
793704,2026-06-01,3864991372,advertising_other,57.0
832197,2026-06-02,3118764399,advertising_other,222.2
832158,2026-06-02,3256137211,advertising_other,714.46
832153,2026-06-02,3545632402,advertising_other,670.89
831415,2026-06-03,1502336198,advertising_other,9.21
831663,2026-06-03,1680229635,advertising_other,7.28
831662,2026-06-03,1842432609,advertising_other,5.92
831822,2026-06-03,3693195805,advertising_other,33.989999999999995
831665,2026-06-03,3790059787,advertising_other,11.99
831750,2026-06-03,3790062950,advertising_other,5.72
872975,2026-06-04,1061062959,advertising_other,357.01
872971,2026-06-04,1175221871,advertising_other,402.21
852201,2026-06-04,1175227765,advertising_other,318.29
851391,2026-06-04,2046728955,advertising_other,9.14
851637,2026-06-04,3118764399,advertising_other,5.92
851524,2026-06-04,3118764516,advertising_other,12.14
872973,2026-06-04,997203260,advertising_other,117.23
872970,2026-06-04,997206286,advertising_other,10.61
872690,2026-06-06,1175227765,advertising_other,7.29
872223,2026-06-06,1349794419,advertising_other,31.73
872374,2026-06-06,3119094625,advertising_other,4.9
872611,2026-06-06,3542393889,advertising_other,6.17
872639,2026-06-06,3543971504,advertising_other,3.98
872552,2026-06-06,3825054393,advertising_other,4.65
1030710,2026-06-07,1058566476,advertising_other,208.67
1030715,2026-06-07,1950378899,advertising_other,345.48
893663,2026-06-07,3542411032,advertising_other,5.82
893662,2026-06-07,3790063408,advertising_other,17.01
893677,2026-06-07,3790067361,advertising_other,9.19
893484,2026-06-07,3800974947,advertising_other,10.6
893532,2026-06-07,951328173,advertising_other,16.01
914661,2026-06-08,1061062959,advertising_other,40.42
914581,2026-06-08,1444882627,advertising_other,43.84
914605,2026-06-08,3119094507,advertising_other,9.7
915054,2026-06-08,3542404749,advertising_other,8.56
915055,2026-06-08,3543768634,advertising_other,9.29
915036,2026-06-08,3790059891,advertising_other,6.68
915029,2026-06-08,4105142167,advertising_other,19.119999999999997
936725,2026-06-09,1166293225,advertising_other,60.02
936776,2026-06-09,1202109171,advertising_other,106.58
936732,2026-06-09,1219855589,advertising_other,5.49
936805,2026-06-09,1219855706,advertising_other,165.36
936497,2026-06-09,1451550514,advertising_other,43.7
936769,2026-06-09,1680229713,advertising_other,23.78
936709,2026-06-09,3118764455,advertising_other,5.53
936368,2026-06-09,3119095044,advertising_other,253.28
936866,2026-06-09,3790060074,advertising_other,27.16
936486,2026-06-09,968268390,advertising_other,13.54
936431,2026-06-09,989446177,advertising_other,50.61
958479,2026-06-10,1620587257,advertising_other,119.53
958897,2026-06-10,2860134307,advertising_other,14.18
958968,2026-06-10,3537197544,advertising_other,21.47
958971,2026-06-10,3537197838,advertising_other,18.3
958973,2026-06-10,3537197894,advertising_other,21.66
958820,2026-06-10,3543927271,advertising_other,140.05
958995,2026-06-10,3548528709,advertising_other,1.0
958889,2026-06-10,3790060677,advertising_other,7.33
958953,2026-06-10,3790061407,advertising_other,1.0
958964,2026-06-10,3825053494,advertising_other,33.59
958969,2026-06-10,3825053663,advertising_other,9.02
977928,2026-06-11,1201581241,advertising_other,9.33
977839,2026-06-11,1269619649,advertising_other,11.84
978250,2026-06-11,1543281897,advertising_other,269.17
978229,2026-06-11,1626401935,advertising_other,284.45
978153,2026-06-11,1842432609,advertising_other,5.41
978104,2026-06-11,3118764624,advertising_other,144.9
978099,2026-06-11,3119094576,advertising_other,57.48
978271,2026-06-11,3790059222,advertising_other,18.13
995068,2026-06-15,1499596846,advertising_other,18.13
995459,2026-06-15,1543281897,advertising_other,12.18
995560,2026-06-15,3543968257,advertising_other,16.87
995373,2026-06-15,3790061591,advertising_other,11.95
995564,2026-06-15,3790064103,advertising_other,15.7
995568,2026-06-15,3790068411,advertising_other,8.74
995555,2026-06-15,3790069610,advertising_other,9.21
995376,2026-06-15,3825059296,advertising_other,7.03
995465,2026-06-15,997204518,advertising_other,5.73
998960,2026-06-16,1220219737,advertising_other,7.96
999029,2026-06-16,1950352487,advertising_other,14.21
999202,2026-06-16,3119094211,advertising_other,5.96
999063,2026-06-16,3437018863,advertising_other,1.0
999342,2026-06-16,3537197865,advertising_other,8.12
999403,2026-06-16,3542411518,advertising_other,9.96
999406,2026-06-16,3553356721,advertising_other,9.06
999420,2026-06-16,3693195731,advertising_other,12.54
999395,2026-06-16,3790063408,advertising_other,9.18
999401,2026-06-16,3790064145,advertising_other,8.2
999405,2026-06-16,3790064305,advertising_other,6.38
999218,2026-06-16,3790074216,advertising_other,6.5
999345,2026-06-16,3972814989,advertising_other,7.02
999356,2026-06-16,3986203651,advertising_other,24.52
1015085,2026-06-17,1557196729,advertising_other,29.59
1015380,2026-06-17,2860134307,advertising_other,16.1
1015057,2026-06-17,3119094507,advertising_other,12.79
1015463,2026-06-17,3542395281,advertising_other,31.01
1015223,2026-06-17,3560266304,advertising_other,8.67
1015437,2026-06-17,3790061407,advertising_other,17.49
1030497,2026-06-18,1116114582,advertising_other,858.83
1030500,2026-06-18,1202312962,advertising_other,530.33
1030495,2026-06-18,997205649,advertising_other,741.8
1031805,2026-06-19,3825058025,advertising_other,7.86
1049038,2026-06-20,1543281700,advertising_other,5.13
1048948,2026-06-20,1842432609,advertising_other,5.98
1049076,2026-06-20,3543775971,advertising_other,4.14
1049066,2026-06-20,3563059663,advertising_other,10.11
1054287,2026-06-21,1543281625,advertising_other,11.56
1054164,2026-06-21,3118764399,advertising_other,9.28
1054062,2026-06-21,3119094550,advertising_other,14.53
1054402,2026-06-21,3542372367,advertising_other,6.19
1054431,2026-06-21,3790060689,advertising_other,6.15
1054360,2026-06-21,3790062950,advertising_other,11.89
1054433,2026-06-21,3790068982,advertising_other,7.28
1054426,2026-06-21,3790069338,advertising_other,15.27
1074109,2026-06-22,1175227765,advertising_other,13.17
1074090,2026-06-22,1502336198,advertising_other,15.1
1074405,2026-06-22,1626402026,advertising_other,6.15
1074331,2026-06-22,3230056571,advertising_other,13.8
1074443,2026-06-22,3537198074,advertising_other,6.6
1074280,2026-06-22,3543927585,advertising_other,8.34
1074349,2026-06-22,3559566292,advertising_other,7.82
1074037,2026-06-22,3560576504,advertising_other,285.38
1074465,2026-06-22,3790069451,advertising_other,4.67
1074346,2026-06-22,3825059296,advertising_other,9.73
1080596,2026-06-23,1045776694,advertising_other,14.12
1080622,2026-06-23,1116091919,advertising_other,311.19
1080616,2026-06-23,1175221871,advertising_other,11.19
1080852,2026-06-23,3790064809,advertising_other,4.78
1080853,2026-06-23,997202936,advertising_other,12.05
1088304,2026-06-24,1012622034,advertising_other,6.07
1087960,2026-06-24,1021530556,advertising_other,12.38
1087912,2026-06-24,1383117144,advertising_other,29.45
1087950,2026-06-24,3215835296,advertising_other,22.32
1088374,2026-06-24,3542444867,advertising_other,5.81
1100917,2026-06-25,1012622024,advertising_other,6.58
1101002,2026-06-25,1165703634,advertising_other,9.08
1100856,2026-06-25,2531294283,advertising_other,136.51
1101087,2026-06-25,3542404749,advertising_other,5.9
1100947,2026-06-25,3790061591,advertising_other,9.21
1127223,2026-06-26,1011798220,advertising_other,2.11
1127610,2026-06-26,3542416365,advertising_other,4.87
1127524,2026-06-26,3825054310,advertising_other,7.7
1127540,2026-06-26,994051562,advertising_other,6.39
1168684,2026-06-27,1058566476,advertising_other,485.05
1128789,2026-06-27,1269123731,advertising_other,19.09
1128736,2026-06-27,1336838746,advertising_other,7.79
1128461,2026-06-27,1451550093,advertising_other,26.71
1128508,2026-06-27,1502337507,advertising_other,24.88
1128389,2026-06-27,1621530758,advertising_other,9.43
1128503,2026-06-27,1950352487,advertising_other,29.36
1128510,2026-06-27,2046728783,advertising_other,10.99
1128804,2026-06-27,3537197594,advertising_other,1.0
1128818,2026-06-27,3543968257,advertising_other,3.89
1128823,2026-06-27,3790061455,advertising_other,4.01
1168678,2026-06-27,3790065219,advertising_other,18.46
1128846,2026-06-27,3790065909,advertising_other,6.1
1161597,2026-06-27,3790068411,advertising_other,6.21
1216283,2026-06-27,997202660,advertising_other,351.14
1134632,2026-06-28,1165690540,advertising_other,11.11
1134783,2026-06-28,1219891869,advertising_other,11.66
1134608,2026-06-28,1842432609,advertising_other,22.39
1134322,2026-06-28,3119094507,advertising_other,11.21
1134721,2026-06-28,3563059663,advertising_other,12.06
1134737,2026-06-28,3790065130,advertising_other,4.15
1134623,2026-06-28,3825053775,advertising_other,4.2
1134705,2026-06-28,997204518,advertising_other,5.62
1161267,2026-06-29,1012622034,advertising_other,6.03
1160960,2026-06-29,1269613903,advertising_other,11.19
1161388,2026-06-29,2568755321,advertising_other,6.04
1161167,2026-06-29,3118764624,advertising_other,19.07
1161315,2026-06-29,3537198074,advertising_other,7.82
1161340,2026-06-29,3790068691,advertising_other,3.87
1161328,2026-06-29,4105142167,advertising_other,5.88
1168243,2026-07-01,3825055443,advertising_other,3.77
1194807,2026-07-02,1165690540,advertising_other,98.55
1194960,2026-07-02,1219891869,advertising_other,9.66
1194736,2026-07-02,2531294987,advertising_other,41.86
1194602,2026-07-02,2838742899,advertising_other,15.24
1194592,2026-07-02,3119094550,advertising_other,13.44
1194698,2026-07-02,3119094719,advertising_other,12.69
